num_features,RF_indexes,SVM_indexes,RFSM_indexes,RF_time,SVM_time,RFSM_time,unreduced_score_forest,RF_scores_forest,SVM_scores_forest,RFSVM_scores_forest,unreduced_train_time_forest,RF_train_time_forest,SVM_train_time_forest,RFSVM_train_time_forest,unreduced_score_svc,RF_scores_svc,SVM_scores_svc,RFSVM_scores_svc,unreduced_train_time_svc,RF_train_time_svc,SVM_train_time_svc,RFSVM_train_time_svc,unreduced_score_knn,RF_scores_knn,SVM_scores_knn,RFSVM_scores_knn,unreduced_train_time_knn,RF_train_time_knn,SVM_train_time_knn,RFSVM_train_time_knn
1,[780],[187],[1016],19,46,55,0.8662790697674418,0.10465116279069768,0.08139534883720931,0.14534883720930233,131,70,67,71,0.5116279069767442,0.09883720930232558,0.11046511627906977,0.13953488372093023,115,2,1,2,0.5348837209302325,0.10465116279069768,0.0755813953488372,0.13372093023255813,17,1,1,1
2,[ 985 1162],[171 187],[1162  638],19,37,47,0.8662790697674418,0.16279069767441862,0.12209302325581395,0.18023255813953487,131,73,69,72,0.5116279069767442,0.13372093023255813,0.12209302325581395,0.16279069767441862,115,2,2,2,0.5348837209302325,0.1511627906976744,0.0872093023255814,0.14534883720930233,17,1,1,1
3,[648 231 418],[200 171 187],[685 350 477],19,39,49,0.8662790697674418,0.1511627906976744,0.11046511627906977,0.12209302325581395,131,73,69,73,0.5116279069767442,0.12209302325581395,0.11627906976744186,0.11627906976744186,115,2,2,2,0.5348837209302325,0.08139534883720931,0.11627906976744186,0.09883720930232558,17,1,1,1
4,[1249  317  242  995],[423 200 171 187],[ 331  140  462 1162],19,40,50,0.8662790697674418,0.27325581395348836,0.11046511627906977,0.19767441860465115,131,74,69,75,0.5116279069767442,0.22093023255813954,0.11046511627906977,0.1569767441860465,115,2,2,2,0.5348837209302325,0.20930232558139536,0.12790697674418605,0.1569767441860465,17,1,1,1
5,[1149  275  749  780 1079],[207 423 200 171 187],[ 992  140  331 1162  810],19,39,49,0.8662790697674418,0.19767441860465115,0.16279069767441862,0.27325581395348836,131,73,72,76,0.5116279069767442,0.19767441860465115,0.1569767441860465,0.19767441860465115,115,2,2,2,0.5348837209302325,0.11627906976744186,0.18023255813953487,0.19186046511627908,17,1,1,1
6,[ 985 1260  733  307 1162  780],[180 207 423 200 171 187],[ 995  638  350 1028  398   46],19,43,52,0.8662790697674418,0.2441860465116279,0.16279069767441862,0.2441860465116279,131,77,72,75,0.5116279069767442,0.18604651162790697,0.1569767441860465,0.23255813953488372,115,2,2,3,0.5348837209302325,0.20930232558139536,0.18023255813953487,0.20930232558139536,17,1,1,1
7,[ 191  780  470  522  398 1049 1249],[311 170 180 207 200 171 187],[1162 1016 1249  638  522 1028  398],19,35,46,0.8662790697674418,0.3023255813953488,0.1744186046511628,0.313953488372093,131,76,76,76,0.5116279069767442,0.20930232558139536,0.1569767441860465,0.29651162790697677,115,2,3,3,0.5348837209302325,0.23255813953488372,0.1686046511627907,0.29069767441860467,17,1,1,1
8,[789 207 985 738 324 780 307 733],[383 170 180 207 423 200 171 187],[ 986  408  177  513  239  207 1149  780],19,40,50,0.8662790697674418,0.19186046511627908,0.1686046511627907,0.2441860465116279,131,74,76,75,0.5116279069767442,0.1686046511627907,0.18023255813953487,0.18604651162790697,115,3,3,3,0.5348837209302325,0.16279069767441862,0.16279069767441862,0.20930232558139536,17,1,1,1
9,[ 578  470 1260  306 1204  597  638  477 1249],[ 48 311 170 180 207 423 200 171 187],[ 780  998  638  645  693 1204  685 1249  398],19,37,47,0.8662790697674418,0.3953488372093023,0.27906976744186046,0.32558139534883723,131,80,78,79,0.5116279069767442,0.2441860465116279,0.20348837209302326,0.2441860465116279,115,3,3,3,0.5348837209302325,0.32558139534883723,0.18023255813953487,0.22093023255813954,17,1,1,1
10,[1178  307  889  190  524  381  348  593 1125  995],[199 810  48 170 180 207 423 200 171 187],[1128  384 1113  398  239 1016 1149  207  177  995],19,37,47,0.8662790697674418,0.2441860465116279,0.2558139534883721,0.38372093023255816,131,77,78,80,0.5116279069767442,0.22674418604651161,0.21511627906976744,0.27325581395348836,115,3,3,3,0.5348837209302325,0.19186046511627908,0.21511627906976744,0.27906976744186046,17,1,1,1
