num_features,RF_indexes,SVM_indexes,RFSM_indexes,RF_time,SVM_time,RFSM_time,unreduced_score_forest,RF_scores_forest,SVM_scores_forest,RFSVM_scores_forest,unreduced_train_time_forest,RF_train_time_forest,SVM_train_time_forest,RFSVM_train_time_forest,unreduced_score_svc,RF_scores_svc,SVM_scores_svc,RFSVM_scores_svc,unreduced_train_time_svc,RF_train_time_svc,SVM_train_time_svc,RFSVM_train_time_svc,unreduced_score_knn,RF_scores_knn,SVM_scores_knn,RFSVM_scores_knn,unreduced_train_time_knn,RF_train_time_knn,SVM_train_time_knn,RFSVM_train_time_knn
1,[2269],[1039],[2269],144,805,3412,0.8916666666666667,0.05,0.016666666666666666,0.05,792,83,80,83,0.9166666666666666,0.058333333333333334,0.03333333333333333,0.058333333333333334,210,3,3,3,0.6,0.06666666666666667,0.025,0.06666666666666667,21,1,0,1
2,[2268 2269],[1660 1039],[1256 3290],140,792,3381,0.8916666666666667,0.10833333333333334,0.125,0.09166666666666666,792,86,85,90,0.9166666666666666,0.09166666666666666,0.125,0.125,210,3,3,3,0.6,0.075,0.125,0.1,21,1,1,1
3,[2270 2268 2269],[2742 1189 1039],[ 848  912 1238],141,783,3446,0.8916666666666667,0.1,0.11666666666666667,0.14166666666666666,792,86,86,85,0.9166666666666666,0.10833333333333334,0.16666666666666666,0.10833333333333334,210,3,3,2,0.6,0.06666666666666667,0.15,0.125,21,1,1,1
4,[1074 2269 1258 2206],[1719 2388 2381 1039],[3135 1868 2268 1304],141,757,3388,0.8916666666666667,0.18333333333333332,0.24166666666666667,0.3416666666666667,792,94,92,91,0.9166666666666666,0.175,0.2833333333333333,0.2833333333333333,210,3,3,3,0.6,0.175,0.25,0.16666666666666666,21,1,1,1
5,[316 828 380 444 956],[ 103 1660 1719 2381 1039],[3108 3109  914 3160 3164],140,725,3205,0.8916666666666667,0.18333333333333332,0.4,0.13333333333333333,792,93,92,93,0.9166666666666666,0.25,0.4166666666666667,0.15,210,3,3,3,0.6,0.13333333333333333,0.26666666666666666,0.125,21,1,1,1
6,[ 494 1238 2332 2333 2268 2269],[3285 1222 2381 1189 1719 1039],[ 846  909 2337 1301 2402 1256],133,695,3184,0.8916666666666667,0.2833333333333333,0.36666666666666664,0.375,792,93,93,93,0.9166666666666666,0.3333333333333333,0.36666666666666664,0.36666666666666664,210,3,3,3,0.6,0.15,0.24166666666666667,0.24166666666666667,21,1,1,1
7,[4079 1238 3288 3290 3166 3167 3289],[3285 2742 2381 1719  103  421 1039],[ 911  785 3260  128   64 1297 1301],141,749,3407,0.8916666666666667,0.275,0.5,0.4666666666666667,792,93,91,94,0.9166666666666666,0.24166666666666667,0.5166666666666667,0.4083333333333333,210,3,3,3,0.6,0.225,0.26666666666666666,0.275,21,1,1,1
8,[ 526 2269 2268 2333  529  528 2332  530],[2381  424 2742 1719 1256  421 1264 1039],[2268 3197  509  252 3135  956 3134  380],141,765,3357,0.8916666666666667,0.2,0.4666666666666667,0.38333333333333336,792,93,92,93,0.9166666666666666,0.225,0.5083333333333333,0.35,210,3,3,3,0.6,0.075,0.2916666666666667,0.2,21,1,1,1
9,[3164 2268 3166 3167 3169 3165 2270 2269 2206],[1256  421 3285 2388  103 2742 1719 2381 1039],[3388 3197 1366 1300 1365 2332  588 2269 1238],142,759,3394,0.8916666666666667,0.175,0.5666666666666667,0.4583333333333333,792,101,99,100,0.9166666666666666,0.175,0.5583333333333333,0.45,210,3,3,3,0.6,0.08333333333333333,0.30833333333333335,0.2833333333333333,21,1,1,1
10,[ 588 2450 4031 3640 3967  464 1238 3903  523  956],[2301  687  424  421 2114 3285 2742 1719 2381 1039],[ 256 2402 2334 3579 2943  554 3515  561 2332 2269],141,766,3377,0.8916666666666667,0.525,0.5666666666666667,0.48333333333333334,792,98,98,101,0.9166666666666666,0.5833333333333334,0.5916666666666667,0.4666666666666667,210,3,3,3,0.6,0.35,0.31666666666666665,0.20833333333333334,21,1,1,1
