Accuracy of Base-DT: 68.233319%
===== Confusion Matrix =====
Predicted  neg  pos
True               
neg        784  379
pos        378  842
===== Precision/Recall/F1 measure =====
Label:		 neg
Precision:	 67.47%
Recall:		 67.41%
F1 measure:	 67.44%

Label:		 pos
Precision:	 68.96%
Recall:		 69.02%
F1 measure:	 68.99%

===== Predictions =====
Labels to index mapping: {'neg': 0, 'pos': 1}
1,1
2,1
10,1
15,1
24,0
30,1
31,0
38,0
39,0
43,1
55,0
56,1
59,0
63,1
84,1
88,0
92,0
96,1
100,1
103,1
106,0
108,0
112,1
115,1
117,0
120,0
126,1
128,1
133,1
139,0
140,1
142,1
150,1
155,0
158,1
160,1
161,0
164,1
173,1
174,1
175,1
176,1
177,1
180,1
194,1
199,1
202,1
203,1
211,1
213,1
223,1
228,1
235,1
236,1
238,0
244,0
247,0
254,0
255,0
256,0
258,0
272,1
278,0
282,1
286,0
290,1
298,1
302,1
303,1
320,1
321,1
327,0
341,0
346,0
347,0
348,1
355,1
366,0
371,1
374,1
375,1
385,1
389,0
396,1
399,0
410,0
417,1
422,1
432,0
436,1
440,1
443,0
444,1
449,0
469,1
472,0
475,1
482,1
493,1
495,1
497,0
507,0
508,0
515,1
521,0
527,0
530,0
532,0
535,1
537,1
539,0
543,0
545,0
548,1
569,1
577,0
582,0
583,1
589,0
602,0
603,1
615,1
618,1
620,1
623,0
624,0
625,0
626,0
630,0
633,1
635,0
639,1
641,1
645,1
655,0
656,0
660,0
666,1
670,1
677,1
679,1
680,1
698,1
705,0
714,1
716,1
734,0
735,0
741,1
749,1
752,0
753,1
756,0
765,1
771,1
774,0
775,0
779,1
783,0
794,0
796,0
800,0
802,1
810,0
815,1
823,0
824,1
832,0
833,0
834,0
836,1
838,0
843,0
858,1
868,1
870,1
878,0
880,1
883,0
888,0
896,1
897,1
902,0
903,0
906,1
908,1
913,1
917,0
922,1
926,1
929,1
930,1
933,1
934,0
946,0
953,1
954,0
957,0
959,1
962,1
966,1
968,0
969,0
973,0
979,0
981,1
984,1
985,1
989,0
990,1
991,0
998,0
999,1
1001,1
1003,0
1008,0
1010,0
1032,0
1047,1
1062,0
1073,1
1078,1
1084,1
1092,0
1094,0
1095,0
1096,0
1098,0
1100,0
1112,0
1123,0
1124,1
1126,1
1127,0
1140,1
1144,0
1156,1
1159,1
1160,1
1166,0
1167,1
1170,1
1174,1
1175,1
1184,1
1189,0
1192,1
1197,0
1198,0
1202,1
1203,0
1206,1
1227,1
1245,0
1247,1
1253,0
1260,1
1262,1
1270,0
1275,1
1284,1
1290,0
1291,0
1297,0
1303,0
1314,0
1317,0
1320,1
1322,1
1324,0
1332,1
1333,1
1347,1
1355,1
1360,1
1371,0
1375,0
1385,0
1387,1
1394,0
1398,0
1403,1
1405,0
1406,0
1414,0
1415,1
1425,0
1427,1
1428,1
1429,0
1433,1
1434,0
1435,0
1446,1
1454,0
1457,1
1461,1
1466,0
1469,0
1471,0
1474,1
1476,0
1486,0
1488,0
1496,1
1497,0
1503,1
1504,0
1521,0
1529,0
1531,0
1534,1
1545,0
1548,1
1552,1
1559,1
1560,0
1568,0
1570,0
1571,0
1573,0
1596,1
1598,1
1624,1
1630,0
1633,1
1636,0
1648,0
1651,1
1652,1
1665,0
1666,0
1672,1
1675,0
1678,1
1691,1
1693,1
1696,1
1703,0
1705,0
1714,0
1717,0
1718,0
1720,0
1725,0
1726,1
1743,0
1747,1
1749,1
1750,1
1751,1
1764,1
1768,0
1777,1
1779,0
1785,0
1789,0
1793,1
1797,1
1799,1
1800,1
1803,0
1808,1
1811,1
1812,1
1814,0
1820,0
1821,0
1824,0
1825,1
1826,0
1833,1
1836,1
1839,0
1842,1
1845,0
1858,1
1860,1
1866,0
1883,1
1885,0
1890,1
1909,1
1913,1
1914,1
1917,0
1928,0
1937,1
1939,1
1940,1
1945,0
1959,0
1964,0
1967,0
1970,0
1981,0
1983,0
1987,1
1992,1
1997,0
1998,1
2006,1
2007,1
2008,1
2022,0
2025,0
2033,1
2035,0
2043,1
2045,0
2046,0
2053,0
2067,1
2072,1
2079,1
2084,1
2086,0
2096,1
2098,1
2101,0
2110,0
2113,1
2114,0
2115,0
2116,0
2119,1
2123,0
2124,0
2129,1
2136,0
2141,0
2143,1
2147,1
2154,1
2156,1
2158,0
2159,1
2160,1
2161,1
2162,1
2164,0
2165,0
2166,0
2174,1
2185,1
2191,0
2199,1
2202,1
2204,1
2206,1
2209,1
2210,0
2211,1
2217,1
2220,0
2221,1
2225,0
2232,1
2233,1
2235,1
2236,0
2240,0
2242,0
2243,1
2246,0
2250,0
2253,1
2258,0
2261,1
2262,0
2265,1
2274,1
2278,1
2279,1
2294,1
2298,1
2301,1
2306,0
2307,1
2308,0
2311,1
2312,1
2319,1
2323,1
2324,0
