Accuracy of Best=DT: 68.904742%
===== Confusion Matrix =====
Predicted  neg  pos
True               
neg        817  346
pos        395  825
===== Precision/Recall/F1 measure =====
Label:		 neg
Precision:	 67.41%
Recall:		 70.25%
F1 measure:	 68.80%

Label:		 pos
Precision:	 70.45%
Recall:		 67.62%
F1 measure:	 69.01%

===== Predictions =====
Labels to index mapping: {'neg': 0, 'pos': 1}
1,1
2,0
10,0
15,1
24,0
30,1
31,0
38,0
39,0
43,1
55,0
56,1
59,0
63,1
84,1
88,1
92,0
96,0
100,1
103,1
106,1
108,0
112,1
115,1
117,0
120,0
126,1
128,1
133,1
139,1
140,1
142,1
150,1
155,1
158,0
160,1
161,0
164,1
173,0
174,1
175,0
176,0
177,1
180,1
194,1
199,0
202,1
203,1
211,0
213,0
223,1
228,0
235,0
236,1
238,0
244,0
247,0
254,0
255,0
256,0
258,0
272,0
278,0
282,0
286,0
290,1
298,1
302,1
303,0
320,1
321,1
327,1
341,0
346,1
347,0
348,1
355,1
366,0
371,1
374,1
375,0
385,1
389,0
396,1
399,0
410,0
417,1
422,1
432,1
436,0
440,0
443,0
444,1
449,0
469,1
472,0
475,1
482,1
493,1
495,1
497,0
507,0
508,0
515,0
521,0
527,0
530,1
532,0
535,1
537,0
539,0
543,0
545,0
548,1
569,1
577,0
582,0
583,0
589,0
602,0
603,1
615,0
618,1
620,1
623,0
624,0
625,1
626,0
630,0
633,1
635,0
639,1
641,0
645,1
655,0
656,0
660,1
666,0
670,1
677,1
679,1
680,1
698,0
705,0
714,0
716,0
734,1
735,1
741,1
749,1
752,0
753,1
756,0
765,1
771,1
774,0
775,0
779,1
783,1
794,0
796,0
800,1
802,1
810,1
815,0
823,0
824,1
832,1
833,0
834,0
836,1
838,0
843,1
858,1
868,1
870,0
878,1
880,1
883,1
888,0
896,1
897,1
902,0
903,0
906,1
908,1
913,1
917,0
922,1
926,1
929,1
930,1
933,1
934,0
946,0
953,1
954,1
957,0
959,1
962,1
966,1
968,0
969,0
973,0
979,1
981,0
984,1
985,1
989,0
990,1
991,0
998,0
999,1
1001,1
1003,0
1008,0
1010,0
1032,0
1047,1
1062,0
1073,1
1078,1
1084,0
1092,0
1094,0
1095,0
1096,1
1098,0
1100,0
1112,0
1123,0
1124,0
1126,1
1127,1
1140,1
1144,0
1156,1
1159,0
1160,0
1166,1
1167,1
1170,0
1174,1
1175,0
1184,1
1189,0
1192,1
1197,1
1198,1
1202,1
1203,1
1206,1
1227,0
1245,0
1247,0
1253,1
1260,0
1262,0
1270,1
1275,1
1284,0
1290,1
1291,0
1297,1
1303,0
1314,0
1317,0
1320,0
1322,1
1324,0
1332,1
1333,1
1347,0
1355,0
1360,1
1371,1
1375,1
1385,1
1387,1
1394,0
1398,1
1403,1
1405,1
1406,0
1414,0
1415,1
1425,1
1427,0
1428,1
1429,0
1433,0
1434,0
1435,1
1446,1
1454,0
1457,1
1461,1
1466,0
1469,0
1471,0
1474,1
1476,0
1486,1
1488,0
1496,1
1497,0
1503,1
1504,0
1521,0
1529,1
1531,0
1534,1
1545,0
1548,0
1552,0
1559,1
1560,0
1568,0
1570,0
1571,0
1573,1
1596,1
1598,1
1624,1
1630,1
1633,1
1636,0
1648,1
1651,0
1652,1
1665,0
1666,1
1672,1
1675,1
1678,0
1691,1
1693,1
1696,1
1703,0
1705,1
1714,0
1717,0
1718,0
1720,1
1725,0
1726,0
1743,1
1747,1
1749,0
1750,0
1751,1
1764,1
1768,0
1777,1
1779,1
1785,0
1789,0
1793,1
1797,1
1799,0
1800,0
1803,0
1808,1
1811,1
1812,1
1814,0
1820,0
1821,0
1824,0
1825,1
1826,0
1833,1
1836,1
1839,0
1842,0
1845,0
1858,1
1860,1
1866,0
1883,0
1885,0
1890,1
1909,1
1913,1
1914,1
1917,0
1928,1
1937,0
1939,1
1940,0
1945,1
1959,0
1964,1
1967,0
1970,0
1981,0
1983,0
1987,1
1992,0
1997,1
1998,1
2006,1
2007,1
2008,1
2022,0
2025,1
2033,0
2035,0
2043,0
2045,0
2046,0
2053,0
2067,1
2072,1
2079,1
2084,0
2086,1
2096,1
2098,0
2101,0
2110,1
2113,0
2114,0
2115,1
2116,0
2119,1
2123,0
2124,0
2129,1
2136,0
2141,1
2143,1
2147,1
2154,0
2156,1
2158,0
2159,0
2160,1
2161,0
2162,1
2164,1
2165,0
2166,0
2174,1
2185,1
2191,0
2199,1
2202,1
2204,1
2206,1
2209,1
2210,1
2211,0
2217,1
2220,0
2221,1
2225,0
2232,1
2233,1
2235,1
2236,0
2240,1
2242,0
2243,1
2246,0
2250,0
2253,0
2258,0
2261,1
2262,0
2265,1
2274,0
2278,1
2279,1
2294,1
2298,1
2301,1
2306,0
2307,1
2308,0
2311,1
2312,0
2319,1
2323,1
2324,0
2335,0
2355,1
2357,0
2377,0
2389,1
2391,0
2399,1
2404,1
2407,0
2417,0
2419,0
2426,0
2439,0
2441,0
2443,1
2450,1
2453,0
2454,1
2456,0
2468,0
2473,1
2477,0
2485,1
2487,0
2492,1
2502,0
2509,0
2511,1
2512,0
2517,1
2527,0
2530,1
2533,0
2534,0
2537,0
2542,0
2543,0
2549,1
2558,1
2586,1
2590,1
2592,0
2596,1
2598,0
2600,0
2601,1
2609,0
2614,1
2615,0
2616,1
2622,1
2625,1
2630,0
2633,0
2635,1
2637,1
2639,0
2640,0
2649,0
2659,0
2669,0
2672,0
2681,0
2685,0
2688,1
2689,0
2695,1
2698,1
2703,0
2704,1
2713,0
2714,1
2719,0
2723,0
2730,0
2735,0
2741,1
2742,1
2747,1
2752,1
2763,1
2764,0
2768,1
2769,0
2772,1
2788,0
2789,0
2793,0
2796,0
2799,1
2800,1
2803,1
2805,0
2806,0
2810,1
2815,0
2818,0
2819,0
2820,1
2825,1
2832,1
2834,0
2835,0
2837,1
2839,0
2842,0
2844,1
2846,1
2859,1
2861,0
2867,1
2874,0
2880,0
2881,0
2883,1
2884,0
2886,1
2892,0
2895,1
2900,0
2902,0
2909,1
2910,1
2912,1
2917,0
2924,0
2926,0
2930,0
2932,1
2937,1
2949,1
2958,0
2962,0
2976,1
2977,1
2979,0
2982,0
2990,0
2991,1
2992,1
2996,0
3000,0
3001,1
3005,1
3017,1
3022,0
3026,0
3030,1
3031,0
3034,0
3037,1
3042,1
3046,0
3047,0
3048,0
3052,0
3057,1
3063,0
3068,0
3077,0
3080,1
3086,1
3089,0
3090,1
3093,1
3097,1
3100,0
3122,1
3134,0
3137,1
3138,1
3143,1
3144,1
3148,1
3151,0
3153,1
3171,0
3180,0
3187,0
3189,0
3193,0
3195,0
3196,1
3201,0
3212,0
3213,1
3214,0
3217,0
3218,1
3220,1
3227,1
3240,0
3241,1
3243,1
