Accuracy of NB: 79.227864%
===== Confusion Matrix =====
Predicted  neg  pos
True               
neg        950  213
pos        282  938
===== Precision/Recall/F1 measure =====
Label:		 neg
Precision:	 77.11%
Recall:		 81.69%
F1 measure:	 79.33%

Label:		 pos
Precision:	 81.49%
Recall:		 76.89%
F1 measure:	 79.12%

===== Predictions =====
Labels to index mapping: {'neg': 0, 'pos': 1}
1,0
2,0
10,1
15,0
24,0
30,1
31,1
38,0
39,0
43,0
55,0
56,1
59,0
63,1
84,1
88,0
92,0
96,1
100,1
103,1
106,0
108,0
112,1
115,1
117,1
120,0
126,1
128,1
133,1
139,1
140,1
142,1
150,1
155,1
158,1
160,1
161,0
164,1
173,0
174,0
175,0
176,1
177,1
180,0
194,1
199,1
202,0
203,0
211,1
213,1
223,1
228,1
235,0
236,1
238,0
244,1
247,1
254,0
255,0
256,1
258,0
272,0
278,0
282,1
286,0
290,1
298,1
302,1
303,1
320,1
321,1
327,1
341,1
346,0
347,0
348,0
355,1
366,1
371,0
374,1
375,0
385,1
389,0
396,0
399,0
410,1
417,1
422,1
432,1
436,0
440,1
443,0
444,1
449,0
469,1
472,0
475,1
482,1
493,1
495,0
497,0
507,0
508,0
515,1
521,1
527,0
530,1
532,0
535,1
537,0
539,1
543,0
545,0
548,0
569,1
577,1
582,0
583,1
589,1
602,1
603,0
615,0
618,0
620,1
623,0
624,1
625,1
626,0
630,1
633,0
635,0
639,1
641,0
645,1
655,0
656,0
660,0
666,1
670,1
677,1
679,1
680,1
698,0
705,1
714,1
716,1
734,1
735,0
741,1
749,1
752,0
753,1
756,0
765,1
771,0
774,0
775,0
779,1
783,1
794,0
796,0
800,0
802,1
810,1
815,1
823,0
824,1
832,1
833,0
834,1
836,0
838,0
843,1
858,1
868,1
870,0
878,0
880,0
883,0
888,1
896,1
897,1
902,0
903,0
906,1
908,1
913,1
917,0
922,1
926,1
929,1
930,0
933,1
934,0
946,1
953,1
954,1
957,0
959,1
962,0
966,0
968,0
969,0
973,0
979,0
981,0
984,0
985,1
989,0
990,1
991,0
998,1
999,1
1001,1
1003,0
1008,1
1010,0
1032,1
1047,0
1062,0
1073,1
1078,1
1084,0
1092,0
1094,0
1095,1
1096,0
1098,0
