index:4846	label:pos	pred:neg	pred_prob: 1.00 vs 0.00
this is the 3 copy version of norton av . ( one cd will create three copies ) i purchased it to save money as it was less than $20 per copy . i bought it to replace nav 2006 on the same three computers which had expired . installed easily on two machines . just the uninstall of 2006 and the install of 2007. the first machine was more difficult . there is evidently some conflicting software on the computer as i had to use msconfig for a " clean boot " per norton web site instructions . i kept running into the " blue screen of death " on the previous installs when i would get to the actual install of the norton av . each time i would have to uninstall the program and do more . but all of the help came from the symantec ( norton ) website . it is now working fine . added : my personal preference is to not use software firewalls . i use a router with nat as a hardware firewall . ( it only blocks unauthorized incoming malware ) software firewalls try to tell you about everything leaving your computer and generally you either become paranoid or just shut the thing off . they are intended to look for malware by behavior . antivirus programs look for malware by signature . the only advantage to finding malware by behavior is if the computer is attacked in the first day or two of the malware 's existence . if one has an antivirus program it will eventually ( within a few days ) find the problem that the software firewall was trying to tell someone about . ( assuming they have n't given up yet with too many cries for wolf ) . so the only software firewall i have ( microsoft os firewall ) is turned off and thus i have n't had the same problem as others report . as a practice i sent junk email directly to the trash can and avoid weird websites . so far no problems with malware .

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
             word  freq in doc  freq in neg docs  freq in pos docs
0        incoming            1                 0                 1
1        msconfig            1                 2                 0
2          router            1                 9                 0
3    unauthorized            1                 0                 2
4             nav            1                26                 1
5       uninstall            2                31                 3
6           trash            1                60                 6
7        symantec            1                64                 7
8         expired            1                17                 3
9            shut            1                54                10
10           junk            1                86                17
11             av            2                 5                 1
12       installs            1                13                 3
13           wolf            1                 5                19
14          avoid            1               104                28
15           sent            1               137                40
16       attacked            1                12                 4
17    conflicting            1                 2                 6
18      firewalls            2                 3                 1
19       paranoid            1                 6                 2
20          money            1               677               237
21         turned            1               166                59
22           save            1               218                82
23         norton            4               134                51
24      evidently            1                 5                 2
25            nat            1                 5                 2
26        machine            1               124                54
27          email            1               101                44
28         trying            1               364               161
29      advantage            1                17                37
30             os            1                62                29
31         actual            1                89                44
32       assuming            1                12                 6
33        problem            2               509               256
34         easily            1                99               196
35        install            2               139                73
36           site            1                97                51
37        working            1               232               122
38       practice            1                32                60
39      installed            1               128                72
40           kept            1               131                74
41         either            1               264               151
42        someone            1               274               157
43      microsoft            1               193               112
44            try            1               362               211
45        website            1               109                64
46           same            2               727               430
47        malware            6                10                 6
48       personal            1                82               134
49            not            1              5323              3260
50       firewall            4                31                19
51      computers            1                71                44
52             no            1              1818              1133
53           boot            1                38                24
54              t            2              4503              2890
55      signature            1                 9                14
56        replace            1                65                42
57              n            2              4387              2850
58      generally            1                55                36
59       computer            3               398               261
60          weird            1                38                25
61            off            2               732               483
62           each            1               252               380
63          clean            1                77               116
64          would            2              2164              1441
65     preference            1                 4                 6
66           they            2              2739              1836
67           copy            2               131                88
68          thing            1               564               379
69         become            1               103               153
70        leaving            1                43                30
71            was            3              5467              3831
72       intended            1                42                30
73          death            1                79               110
74             do            1              2731              1962
75        running            1               144               104
76         bought            1               724               523
77         create            1                90               122
78      difficult            1               160               120
79           tell            2               211               159
80      purchased            1               301               229
81            had            3              1686              1288
82       problems            1               276               211
83            use            3               975              1270
84            too            1               892               685
85       directly            1                34                44
86           only            3              1565              1217
87     eventually            1                77                60
88           blue            1                61                78
89            can            1              1444              1844
90             if            2              2660              2084
91      existence            1                11                14
92       machines            1                15                19
93     everything            1               241               305
94             as            5              3580              4487
95            yet            1               264               330
96          there            1              1896              1528
97           just            2              2105              1702
98             or            2              2429              1973
99           fine            1               238               196
100           day            1               376               454
101           but            1              4672              3874
102           get            1              1595              1323
103      software            5               597               499
104      previous            1               159               133
105             i           10             17409             14584
106            so            2              2632              2214
107          when            1              1811              1528
108          that            1              8117              6863
109       version            1               553               478
110          help            1               324               281
