((12,3,1,2),(5,9,13,16),(6,8,14,10),(15,4,7,11))
((16,1,11,6),(3,14,15,9),(12,2,8,7),(5,4,10,13))
((16,1,15,6),(5,7,10,3),(11,12,13,4),(14,9,2,8))
((11,7,9,10),(3,1,12,15),(6,4,16,2),(14,8,13,5))
((9,5,8,15),(6,1,14,13),(4,2,7,10),(16,11,12,3))
((16,15,6,12),(13,8,9,7),(2,3,5,11),(4,10,14,1))
((10,4,9,11),(14,6,1,2),(13,15,7,5),(16,3,8,12))
((1,12,13,2),(8,7,3,11),(4,15,6,14),(9,5,16,10))
((15,3,10,2),(11,7,8,1),(13,6,12,16),(5,9,4,14))
((8,1,4,3),(10,5,2,12),(14,9,16,11),(6,13,7,15))
((14,11,10,6),(7,13,9,12),(4,2,5,1),(3,8,15,16))
((1,14,5,11),(2,15,7,16),(10,8,4,6),(9,13,12,3))
((1,11,8,4),(6,7,10,15),(5,2,3,9),(14,12,13,16))
((11,4,16,8),(9,15,2,12),(10,14,6,3),(7,1,5,13))
((8,16,7,5),(6,4,1,2),(3,15,12,14),(9,10,11,13))
((4,11,1,2),(12,15,5,10),(6,7,8,14),(13,16,3,9))
((1,5,2,10),(8,16,12,6),(7,3,9,4),(15,13,11,14))
((9,3,6,11),(7,10,1,13),(5,15,12,4),(8,2,14,16))
((2,3,14,5),(11,10,9,15),(4,1,16,12),(8,7,6,13))
((13,15,11,12),(7,5,3,10),(14,16,9,2),(8,6,4,1))
