((8,22,3,6,17),(24,10,2,9,13),(20,18,4,21,16),(7,25,23,12,19),(14,11,15,5,1))
((6,11,12,16,18),(20,8,3,9,2),(25,21,4,23,14),(17,19,1,24,22),(7,15,10,5,13))
((17,10,18,8,23),(1,20,15,5,24),(2,25,7,4,9),(12,3,13,21,14),(22,11,16,19,6))
((11,23,24,18,9),(3,12,5,13,15),(8,22,2,17,19),(7,20,21,14,10),(6,1,4,16,25))
((5,22,25,2,11),(23,3,7,10,13),(21,4,15,9,18),(14,16,8,6,19),(17,24,1,20,12))
((14,1,9,11,8),(21,3,16,24,17),(18,2,13,10,4),(7,23,15,12,5),(19,20,6,22,25))
((23,25,21,5,12),(4,7,15,3,14),(13,20,18,16,6),(8,1,22,24,17),(11,2,10,19,9))
((25,14,19,6,13),(3,8,12,21,2),(9,20,18,7,17),(1,23,16,15,10),(5,22,11,4,24))
((6,11,4,20,5),(23,14,3,15,16),(13,1,10,19,25),(18,17,8,21,7),(2,24,9,22,12))
((7,16,17,14,2),(15,20,5,9,6),(25,4,8,12,3),(21,13,23,1,19),(18,11,24,22,10))
((11,5,6,23,17),(16,20,3,18,22),(25,15,7,8,24),(14,21,9,10,1),(13,4,12,2,19))
((24,23,12,19,17),(18,25,21,4,3),(6,22,16,13,8),(14,20,10,15,5),(1,2,7,9,11))
((24,6,22,13,10),(12,23,18,16,8),(20,9,1,15,19),(3,11,5,14,4),(7,17,2,21,25))
((21,7,17,15,8),(4,19,9,12,5),(22,6,25,1,2),(23,20,24,3,18),(16,11,14,13,10))
((19,11,4,10,17),(15,23,7,12,16),(9,5,13,6,24),(1,22,25,8,20),(21,18,14,3,2))
((20,25,10,7,3),(17,12,15,16,19),(9,5,8,13,18),(23,21,2,6,14),(1,24,4,11,22))
((12,21,9,18,22),(2,14,4,23,6),(5,16,8,24,7),(19,15,20,25,3),(1,17,11,13,10))
((12,18,5,23,8),(14,10,17,24,20),(7,3,6,15,22),(11,25,19,1,9),(16,21,13,2,4))
((1,13,22,20,5),(12,15,17,19,21),(24,2,7,6,16),(18,10,23,25,11),(9,4,14,3,8))
((11,7,21,12,15),(13,6,18,2,1),(19,16,14,8,5),(9,20,25,22,4),(23,24,17,3,10))
